username,tweet,date
user1,We need more investment in solar and wind energy!,2024-02-05
user2,Finally good news: new solar farm approved!,2024-03-23
user3,Climate change is affecting our daily lives more and more.,2024-04-19
user4,Finally good news: new solar farm approved!,2024-01-13
user5,Finally good news: new solar farm approved!,2024-01-25
user6,Finally good news: new solar farm approved!,2024-02-15
user7,Climate change is affecting our daily lives more and more.,2024-01-04
user8,We need more investment in solar and wind energy!,2024-03-23
user9,The new climate policy might actually help reduce emissions.,2024-01-06
user10,My city feels cleaner lately—maybe renewable projects work?,2024-01-10
user11,Climate change is affecting our daily lives more and more.,2024-01-31
user12,My city feels cleaner lately—maybe renewable projects work?,2024-02-26
user13,We need more investment in solar and wind energy!,2024-04-12
user14,Wind turbines near the coast look beautiful and powerful.,2024-03-06
user15,Wind turbines near the coast look beautiful and powerful.,2024-01-02
user16,Finally good news: new solar farm approved!,2024-01-03
user17,Climate change is affecting our daily lives more and more.,2024-04-06
user18,The new climate policy might actually help reduce emissions.,2024-01-23
user19,I can’t breathe today because of pollution… terrible air quality.,2024-02-06
user20,Another air pollution alert today… this is getting worse.,2024-01-13
user21,Finally good news: new solar farm approved!,2024-04-24
user22,Wind turbines near the coast look beautiful and powerful.,2024-03-09
user23,My city feels cleaner lately—maybe renewable projects work?,2024-01-19
user24,My city feels cleaner lately—maybe renewable projects work?,2024-04-10
user25,Renewable energy is the future! Solar panels are everywhere now.,2024-02-22
user26,Renewable energy is the future! Solar panels are everywhere now.,2024-01-13
user27,My city feels cleaner lately—maybe renewable projects work?,2024-04-28
user28,The new climate policy might actually help reduce emissions.,2024-02-06
user29,Another air pollution alert today… this is getting worse.,2024-01-28
user30,My city feels cleaner lately—maybe renewable projects work?,2024-03-02
user31,Wind turbines near the coast look beautiful and powerful.,2024-04-12
user32,We need more investment in solar and wind energy!,2024-03-13
user33,Climate change is affecting our daily lives more and more.,2024-04-14
user34,Another air pollution alert today… this is getting worse.,2024-01-27
user35,My city feels cleaner lately—maybe renewable projects work?,2024-03-11
user36,The new climate policy might actually help reduce emissions.,2024-01-10
user37,Politicians talk about green energy but do nothing.,2024-04-24
user38,Politicians talk about green energy but do nothing.,2024-04-14
user39,My city feels cleaner lately—maybe renewable projects work?,2024-04-17
user40,We need more investment in solar and wind energy!,2024-01-15
user41,I can’t breathe today because of pollution… terrible air quality.,2024-03-28
user42,We need more investment in solar and wind energy!,2024-02-28
user43,Finally good news: new solar farm approved!,2024-04-17
user44,Wind turbines near the coast look beautiful and powerful.,2024-03-03
user45,Another air pollution alert today… this is getting worse.,2024-04-24
user46,I can’t breathe today because of pollution… terrible air quality.,2024-02-09
user47,Wind turbines near the coast look beautiful and powerful.,2024-04-28
user48,The new climate policy might actually help reduce emissions.,2024-04-25
user49,Another air pollution alert today… this is getting worse.,2024-04-09
user50,We need more investment in solar and wind energy!,2024-03-22
user51,I can’t breathe today because of pollution… terrible air quality.,2024-02-20
user52,Climate change is affecting our daily lives more and more.,2024-03-04
user53,Another air pollution alert today… this is getting worse.,2024-04-18
user54,Climate change is affecting our daily lives more and more.,2024-03-20
user55,Finally good news: new solar farm approved!,2024-02-15
user56,Another air pollution alert today… this is getting worse.,2024-01-20
