username,tweet,date
jim_dev,Climate change is terrifying… massive fires again today! #ClimateCrisis,2024-01-05
ecoGirl,Finally some positive news! Renewable energy projects growing fast!,2024-01-12
newsbot,BREAKING: Government announces new climate policy. Mixed reactions.,2024-02-03
climate_john,I’m sick of the pollution in my city… can’t breathe anymore.,2024-02-18
maria_geo,Beautiful weather today! But honestly climate change scares me…,2024-02-25
user42,Nothing will change. Politicians only talk and never act. #climatechange,2024-03-01
greenTalk,Solar panels are becoming cheaper every year. Great progress!,2024-03-11
ecoWarrior,"Wind turbines near my village—some people complain, but I like them.",2024-03-18
cleanAirNow,Air quality alerts again today. When will we prioritize clean energy?,2024-04-02
solarFan,The new solar farm near Athens looks amazing! Proud of my city.,2024-04-10
